diff_GF/G,diff_S%,diff_PP%,diff_PIM,diff_SOG,diff_GA/G,diff_SV%,diff_PK%,home_team,away_team,home_indicator,Winner
0.010000000000000231,0.5,-3.3000000000000007,83,-54,0.06000000000000005,-0.009000000000000008,5.799999999999997,Capitals,Lightning,1,0
0.18999999999999995,0.8000000000000007,-7.0,129,-24,0.33000000000000007,-0.016000000000000014,0.0,Capitals,Jets,1,0
0.18999999999999995,1.0999999999999996,-0.3000000000000007,182,-44,0.15000000000000036,-0.009000000000000008,1.5,Capitals,Stars,1,1
0.20999999999999996,1.8000000000000007,-8.400000000000002,273,-169,0.040000000000000036,0.0030000000000000027,-3.200000000000003,Capitals,Golden Knights,1,1
0.30000000000000027,1.9000000000000004,-2.6999999999999993,181,-191,-0.07999999999999963,0.0030000000000000027,0.3999999999999915,Capitals,Avalanche,1,1
0.3200000000000003,2.5999999999999996,3.099999999999998,114,-272,0.040000000000000036,0.0030000000000000027,1.7999999999999972,Capitals,Hurricanes,1,1
0.3400000000000003,1.0999999999999996,3.8999999999999986,-97,45,-0.8599999999999999,0.017000000000000015,6.5,Capitals,Sabres,1,1
0.3500000000000001,1.5,-3.900000000000002,109,-44,-0.23999999999999977,-0.0030000000000000027,7.700000000000003,Capitals,Maple Leafs,1,1
0.3700000000000001,1.9000000000000004,2.8999999999999986,100,-52,-0.6299999999999999,0.014000000000000012,0.5999999999999943,Capitals,Blue Jackets,1,1
0.3700000000000001,2.9000000000000004,-3.1000000000000014,196,-295,-0.23999999999999977,0.009000000000000008,-0.4000000000000057,Capitals,Oilers,1,1
0.3700000000000001,2.9000000000000004,-3.1000000000000014,196,-295,-0.040000000000000036,-0.0010000000000000009,4.299999999999997,Capitals,Panthers,1,1
0.5100000000000002,3.1999999999999993,-2.0,-35,-291,-0.3299999999999996,0.0010000000000000009,3.5,Capitals,Rangers,1,1
0.56,2.3000000000000007,4.899999999999999,52,-70,-0.4099999999999997,0.013000000000000012,0.29999999999999716,Capitals,Kraken,1,1
0.6000000000000001,2.0999999999999996,1.1999999999999993,119,18,-0.10999999999999988,0.0020000000000000018,-0.4000000000000057,Capitals,Blues,1,1
0.6099999999999999,1.5,1.0,13,150,-0.6299999999999999,0.014000000000000012,8.299999999999997,Capitals,Canadiens,1,1
0.6099999999999999,1.5,1.0,13,150,0.06000000000000005,-0.0020000000000000018,-3.4000000000000057,Capitals,Devils,1,1
0.6400000000000001,2.5999999999999996,-5.600000000000001,73,-88,0.18999999999999995,-0.0020000000000000018,-1.1000000000000085,Capitals,Kings,1,1
0.6499999999999999,2.5,5.599999999999998,121,-2,-0.3899999999999997,0.0020000000000000018,4.0,Capitals,Penguins,1,1
0.71,2.6999999999999993,-2.1000000000000014,172,-44,-0.18999999999999995,0.0,7.700000000000003,Capitals,Senators,1,1
0.7400000000000002,3.1999999999999993,-1.0,60,-99,-0.3299999999999996,0.007000000000000006,3.5,Capitals,Utah Hockey Club,1,1
0.79,3.0,0.8000000000000007,-23,-37,-0.48,0.009000000000000008,-1.7999999999999972,Capitals,Red Wings,1,1
0.79,3.0,0.8000000000000007,-23,-37,-0.5,0.008000000000000007,9.0,Capitals,Canucks,1,1
0.8000000000000003,2.0,0.09999999999999787,-4,153,-0.5899999999999999,0.010000000000000009,-1.6000000000000085,Capitals,Flyers,1,1
0.81,2.6999999999999993,7.6,135,20,-0.6099999999999999,0.013000000000000012,4.0,Capitals,Islanders,1,1
0.8799999999999999,3.6999999999999993,9.799999999999999,270,-99,-0.6799999999999997,0.013000000000000012,0.5999999999999943,Capitals,Ducks,1,1
0.8799999999999999,3.1999999999999993,9.6,46,9,-0.7399999999999998,0.026000000000000023,4.700000000000003,Capitals,Wild,1,1
0.8999999999999999,3.0,1.6999999999999993,126,11,-0.8899999999999997,0.015000000000000013,7.099999999999994,Capitals,Blackhawks,1,1
0.9100000000000001,2.0,-2.400000000000002,36,237,-0.009999999999999787,0.0,-0.9000000000000057,Capitals,Bruins,1,1
0.9900000000000002,3.1999999999999993,6.899999999999999,-71,76,-0.9099999999999997,0.01200000000000001,6.200000000000003,Capitals,Sharks,1,1
1.02,3.4000000000000004,3.099999999999998,53,70,-0.25,0.0010000000000000009,-0.9000000000000057,Capitals,Flames,1,1
1.0300000000000002,4.199999999999999,1.3000000000000007,-27,-97,-1.06,0.018000000000000016,0.7999999999999972,Capitals,Predators,1,1
-0.010000000000000231,-0.5,3.3000000000000007,-83,54,-0.06000000000000005,0.009000000000000008,-5.799999999999997,Lightning,Capitals,1,1
0.17999999999999972,0.3000000000000007,-3.6999999999999993,46,30,0.27,-0.007000000000000006,-5.799999999999997,Lightning,Jets,1,0
0.17999999999999972,0.5999999999999996,3.0,99,10,0.0900000000000003,0.0,-4.299999999999997,Lightning,Stars,1,1
0.19999999999999973,1.3000000000000007,-5.100000000000001,190,-115,-0.020000000000000018,0.01200000000000001,-9.0,Lightning,Golden Knights,1,1
0.29000000000000004,1.4000000000000004,0.6000000000000014,98,-137,-0.13999999999999968,0.01200000000000001,-5.400000000000006,Lightning,Avalanche,1,1
0.31000000000000005,2.0999999999999996,6.399999999999999,31,-218,-0.020000000000000018,0.01200000000000001,-4.0,Lightning,Hurricanes,1,1
0.33000000000000007,0.5999999999999996,7.199999999999999,-180,99,-0.9199999999999999,0.026000000000000023,0.7000000000000028,Lightning,Sabres,1,1
0.33999999999999986,1.0,-0.6000000000000014,26,10,-0.2999999999999998,0.006000000000000005,1.9000000000000057,Lightning,Maple Leafs,1,1
